['Username'],['Date'],['Rating'],['Reviews']
['Justyna Augustyn'],"['August 19, 2019']",['Rated 1 stars out of five stars'],"['The subscription fee is the biggest barrier. I suggest a sliding scale pricing model so the app is widely accessible to all persons who need access to mental health resources. This is the overarching issue with accessing mental health professionals. Therapy is insanely expensive. A sliding scale price (ie. $5,$10, pay what you can) would be in line with the purported goal of this app, would increase accessibility and over time subscribers may choose to pay more if they find value in the service.']"
['Neil Rojan'],"['September 4, 2019']",['Rated 5 stars out of five stars'],"[""I loved it. You need this app even if u aren't going through mental breakdowns and stuff. It just helps you like a lot.""]"
['Sven Lyon'],"['August 18, 2019']",['Rated 5 stars out of five stars'],"[""It's a great app that you can use to track your mood daily. It has nice meditation, mindfulness and gratitude exercises as well as mental health tracker. I wish there were more mental disorders available (for example eating disorders). The new update is great, I like that the chat is now faster since most of the time I was just logging my daily moods. However, I preferred when the factors tab was organized into categories, perhaps there could be an option to categorize them ourselves.""]"
['Mandy Howard'],"['August 20, 2019']",['Rated 5 stars out of five stars'],"[""I haven't been using this app very long, but so far I love it. It helps me to get my thoughts out and to reflect on them. This app helps you to realize what thought patterns and situations are negatively affecting your mental health and helps you to change to a more positive way of thinking. This app also teaches you self care and mindfulness, and gives you insight into your personality type and how that affects your day to day life. Awesome and helpful so far.""]"
['Stephanie Pruitt'],"['August 19, 2019']",['Rated 5 stars out of five stars'],['This is a fantastic app! I used it everyday and have been pleasantly surprised by the impact. I highly recommend. I appreciate the way it guides me through the self knowledge process in a low pressure way. Not too many choices. No overwhelm or sense of constant failure. There are actionable resources. Great job!']
['Jade Scibilia'],"['September 11, 2019']",['Rated 5 stars out of five stars'],"[""Youper is surprisingly helpful. It felt a bit silly at first, but I'm finding it actually is effective and insightful.""]"
['Amanda North'],"['September 14, 2019']",['Rated 4 stars out of five stars'],"[""Clever app. Accurately tested personality (Mastermind / INTJ) so points for that. I've only used the app for five minutes""]"
['Elias Willerup'],"['September 16, 2019']",['Rated 5 stars out of five stars'],"[""It's perfect. I've been tracking my emotional health for months and I feel like it's making a change.""]"
['Katrina Gigliotti'],"['July 12, 2019']",['Rated 5 stars out of five stars'],"['Great tracker. Good for those in-between and stressful moments. Definitely does not replace seeing a doctor or having meaningful contact with another person. But it\'s a great companion to your regular healthcare. Definitely recommend. Maybe they changed it, but I haven\'t had to pay for any features, it\'s fully functional. My improvement suggestions to the developer: Eliminate the repetitive ""How This Works"" dialogue. I don\'t need that daily.']"
['II Tsuni II'],"['July 14, 2019']",['Rated 5 stars out of five stars'],"[""I have a huge tendency to doubt everything; regardless I can only that those who created this app, for whatever their intentions were, it's really helpful. The whole concept of having a constant any time accessible companion there to help you is amazing, and not matter how low I'm feeling at any given moment, this (so far) has always found a way to bring me back up. I'd also like to that my best friend who recommended the app. It works wonders. The features, the concept, the resources, 5 stars.""]"
['Mei Lin Shih'],"['August 23, 2019']",['Rated 5 stars out of five stars'],"[""This app is everything. It's not just designed for people who struggle with anxiety, depression and handling stress but also for individuals who need a reminder to meditate daily and to be more self-aware. It teaches you to be aware of your thoughts so that you can focus on positive thinking and how to habitually practice healthy coping mechanisms. This app is simply amazing and has improved my quality of life! 😊""]"
['Alexis Hitchcock'],"['August 19, 2019']",['Rated 5 stars out of five stars'],"['I cannot express how much of a blessing this app is. Anxiety has always been an issue for me, but this app helps me so much more than I ever could have imagined. Its free- FREE and it brings me meditations that bring me down from freaking out to a zen calm. It encourages me to take logical steps, and also stabilizes my mental stability when I feel like I cant. I want to express my extreme gratitude to the makers of this app. You have helped me in more ways than I can count. Thank you!']"
['Dora Lisa'],"['September 13, 2019']",['Rated 5 stars out of five stars'],"[""Best self help app everrrrrrrrr . You can use it anytime when you feel down and it also has very long term effects :) . Don't hesitate installing it .""]"
['Mercy Faith'],"['August 22, 2019']",['Rated 5 stars out of five stars'],['This app is awesome. Only been using it for a couple of dats but ut has helped calm me and be more focused and to set my goals and keep them present and in focus. I would recommend thus app to anyone struggling or anyone who just feels as though they need an emotional coach or emotional focus!!! Great app guys. I hope to see more from thus developer!!!']
['Infinity seagull'],"['August 31, 2019']",['Rated 5 stars out of five stars'],"[""I cant describe how fricking helpful this app has been. It wont replace a therapist, or help you if your'e just bored and want to talk, but using it regularly has helped so much with my anxiety and mental health in general. I also personally really liked the new updates. The new graphics and the ability to see average mood over months and even years is really cool. The new text answers are also preety comforting.""]"
['Valeriy Khegay'],"['September 2, 2019']",['Rated 5 stars out of five stars'],"[""The app is just amazing and services its purpose! Additionally, it is completely free to use, simply knocking out all the freemium alternatives while still providing great mental health support in crisis situations. Developers who created this app, thank you so much! You literally saved my life, that's why you can see my review now. Have a great day!""]"
['small petal'],"['September 8, 2019']",['Rated 5 stars out of five stars'],"[""Its seriously like having a friend who's constantly checking up on you and helping you among the way, with some tricks such as meditation, tests and chat.""]"
['Anthony Dimitriadis'],"['September 14, 2019']",['Rated 5 stars out of five stars'],['It really helped me a ton. Also the free version offers a Lot of things anf it even works offline']
['KellBelle'],"['July 8, 2019']",['Rated 3 stars out of five stars'],"[""This app has helped me track and work out what makes me feel certain emotions. The AI feature is helpful, its like having a friend you know will never tell anyone anything. Mindfulness exercises can be good, you don't have do the one the AI has suggested, you can choose ones that work better for you. The check ups are handy too to help you track your moods and see if you're better or worse. I just wish it was cheaper. unfortunately I can not afford £12 a month, which sucks cos the app is brill!""]"
"[""Sydnee O'Loughlin""]","['July 25, 2019']",['Rated 3 stars out of five stars'],"['Was helpful initially, and then I realized that most of the responses were predetermined. I\'d write that I was unsure how to respond to a prompt and get ""Great analysis!"" or ""Good job looking at the objective situation"" and things like that in response. Not helpful. Good for a couple days, but I think I\'m going to uninstall and move on to something else.']"
['Cheyanne McCracken'],"['August 7, 2019']",['Rated 3 stars out of five stars'],"[""so far so good, but could be better. my main issue with this app is the pricing. I understand that whilst this is an app that does an amazing job with helping mental wellbeing, and that it does need funding to maintain, and to also help research, it's really expensive for the premium options. a lot of people who're struggling dont necessarily have the money to be able to pay for premium for some things that they may consider a priority on the app. despite this, this app is great.""]"
['Gheorghii Mosin'],"['August 25, 2019']",['Rated 5 stars out of five stars'],"[""This app is a lifesaver. At first i thought it's just a bs pseudo therapy thing. In truth it really helps. This app helped me more time, than I'm willing to admit. Extremely good when you have depression, anxiety, fear or whatever emotional problem. It will not replace a therapist, but it is the next best thing.""]"
['Mary Fletcher Jones'],"['September 1, 2019']",['Rated 5 stars out of five stars'],['I really like this app. It makes it easy to incorporate mindfulness into my day. I also think the symptom tracker is useful. I enjoy the conversational quality of the interaction and feel motivated by the gentle encouragement. I am grateful to incorporate this helpful app into my self care and wellness.']
['Flavia Hercilia da Silva'],"['September 5, 2019']",['Rated 4 stars out of five stars'],"[""This app it's very helpful and I love it, but as an Brazilian girl, I just wished it had another languages like Portuguese, that way it would have been even better to me.""]"
['CJ'],"['August 30, 2019']",['Rated 5 stars out of five stars'],"[""really great app. i have anxiety and depression and i have been using this app in addition to seeing a therapist to track my mood and help with my anxiety, and it's great! i love the exercises it responds with if you're anxious or sad, they're incredibly helpful. the meditations and breathing exercises are also wonderful, although i haven't tried them all yet. overall would definitely recommend. :)""]"
['sachin Y'],"['September 12, 2019']",['Rated 5 stars out of five stars'],"['This app is great, even though you have a complex emotional situation, this app can atleast help you to be calm and be optimistic.']"
['Code'],"['September 12, 2019']",['Rated 5 stars out of five stars'],"['Wow, this is the first time that an app has impressed me so positively that I want to give a review. I can only recommend this app to everyone! Thank you guys for create this amazing app!']"
['Mayank Rathore'],"['September 11, 2019']",['Rated 5 stars out of five stars'],['Amazing piece of work. Feels like I have an assistant for real who can cheer me up. Take that when a Developer says it. 😉']
['Rebecca'],"['July 6, 2019']",['Rated 5 stars out of five stars'],"[""I've only been using this app for 24 hours so far and I've gotta say, it's a really wonderful, helpful, intuitive, GENIUS app. I struggle day to day, hour by hour with the gross, negative sides of multiple mental health disorders and feel for the longest time I've been floundering about my life trying to find any way to cope only to realize I'm still just going in a circle, making no concrete, lasting progress. Now? I'm sensing a change in the wind, and damn, it feels good. Thanks to Youper.""]"
['Sheri Sparks'],"['July 29, 2019']",['Rated 5 stars out of five stars'],"['I am really enjoying this app. I am impressed that it has different types of meditations available to try and calm yourself down from an anxiety attack or feeling depressed, panicked, etc. I like the assessments that allow you to see how you are feeling and doing mentally. Anyone who suffers with yhese mental illnesses, like myself, should give this a try.']"
['Laura Servera'],"['August 5, 2019']",['Rated 5 stars out of five stars'],"['I have tried multiple AI bots and this one is by far my favorite, it is user friendly and gives access to free help and meditation. Also gives other alternatives to help you relax. Love the list of negative thinking patterns that remind me that my thoughts are not always going in the right direction. Helps me guide my thoughts towards facts and reminds me to live the present. I am grateful that the creator of this app provided it for free. Thank you Youper 💝']"
['Lauren Laibach'],"['September 12, 2019']",['Rated 3 stars out of five stars'],['I loved the app a few months ago but it gets a little worse with each update. Not finding it as useful anymore.']
['Tina Clough'],"['July 9, 2019']",['Rated 5 stars out of five stars'],"[""So far I'm really enjoying the way this app handles. I've tried another that was similar and that one wasn't for me. I like the simple and clean interface. Its nice to be able to just speak your mind and not be interrupted with opinions/advice that may be well intended, but not what you're needing at the time. Its great when all you need is to organize your thoughts or just get things off your chest.""]"
['Lauren .'],"['July 10, 2019']",['Rated 5 stars out of five stars'],"['Ive struggled with mental health for a long time but this app is perfect at looking at the bigger picture and providing insight. it made me look at my issues and see why they existed, then it helped me figure out how to rid myself of problems. it is very well organized and entirely free. it seems very professional and im so amazed by it that i feel inspired to advocate more for better mental health.']"
['Desiree Green'],"['July 16, 2019']",['Rated 5 stars out of five stars'],"['Youper helps me learn CBT and get past stuff that keeps me tangled up in loops that make me feel frozen. I like that mindfulness meditation is proven for the health and healing of my brain, for my heart, and for my nervous system. Sometimes we want the solutions to be complicated, because the problems are so painful. I am finding that it is ok to let go if the complicated thoughts and breathe, so my brain can heal. Worth paying the $10. Maybe they could add the option to sponsor another user?']"
['Wendy L'],"['August 18, 2019']",['Rated 5 stars out of five stars'],['intuitive gentle mental support I stumbled in this app and downloaded it while driving with hubby to run errands. Its easy to use and feels like you have a supportive friend in your pocket tracking your moods and offering meditation and mindfulness opportunities to help you train your brain. it also offers personality insights to help you understand yourself. Thus is a great app for any one wanting mental health support or who had a growth mindset.']
"[""Someone You Don't Know""]","['August 24, 2019']",['Rated 5 stars out of five stars'],"[""this lovely thing helps me be honest with my emotions and understand what's going on in my head better. now i can easily focus on every single moment in my life and analyze what makes me feel that way. after using it for only a couple of weeks i've already noticed i've become much calmer and more confident. i'm grateful for finding this amazing app (;""]"
['Alex Shapoval'],"['August 14, 2019']",['Rated 3 stars out of five stars'],"[""The new update is good and l certainly like it - design is clean, couple of new moods available for tracking and the overall feel is pretty pleasant, but as for me, the mood chat is completely messed up now. It looks okay if your mood is relatively steady and when you add records only once or twice a day. But in my case it just becomes a crazy jagged line and it's almost impossibly to reflect on how mood changed throughout the week. Had 107 days streak, but now have to delete. Sorry guys""]"
['Mayda Af'],"['July 5, 2019']",['Rated 5 stars out of five stars'],"[""The idea is great. However, I'd prefer if it collects datas everyday, not just every two weeks, so I could get quicker result (more data points per month=more reliable result anyway). I believe it's possible to use only the chatbot to conclude if user is feeling certain emotions in the past two weeks; rather than asking the user directly. Just some suggestion. UI is neat and easy to understand. Keep up the good work and let's work together to make a happy world. Thx.""]"
['Hope Makara'],"['July 17, 2019']",['Rated 5 stars out of five stars'],"['I am still in the early stages of use, however, thus far I really appreciate the app. Some time ago, when I was suicidal, I could not get through to any hot lines, so I turned to the internet and found this app. It has helped tremendously for me to track and record my moods and better understand what is going on in my mind. I recommend for anyone who needs extra support like this in their lives right now.']"
['Lisa Wax'],"['July 22, 2019']",['Rated 3 stars out of five stars'],"['i just changed my review from 5 star to 3. I still love this app for how it functions, but I just encountered 1 major drawback. I would like to be able to copy and paste or share my conversations. I write a lot of really good stuff that I would like to have in a more editable and printable format. Please develop a way to copy text ASAP. Thank you!']"
['Réka Kertész'],"['August 10, 2019']",['Rated 3 stars out of five stars'],"['I loved this app because it used to be beautifully designed. Since the latest update it became ugly, hard to read (serious readability issues), choosing a factor is now hard as there are no categories and the changed layout for the ""conversation"" so it feels less like you are actually talking to anyone. Taking away the color codes on the saved conversations is annoying too, not just because the app is using its character but also its less easy to read back.']"
['Katie Cabral'],"['August 6, 2019']",['Rated 5 stars out of five stars'],"[""This app has everything. No need to download multiple apps anymore. Meditations, journaling, mood tracker, even personality testing. It's really great. And weirdly enough, the little AI makes me feel less lonely. Like I know I'm not actually talking to a real person, but it gives this a much more relatable experience. And the AI is honestly adorable lol. It almost feels like a cute little pet that loves u and wants to make u smile.""]"
['jothe3inv'],"['August 6, 2019']",['Rated 5 stars out of five stars'],"[""Sometimes, a part of me feels silly, frankly, while taking to an app. Yet, so far, it has always turned out to be very useful for sorting out my mind, feelings. Especially helpful if you don't have anybody available at the time, for whatever reason, who you feel, can understand you. It can happen. Just sorting yourself out with someone who doesn't make you feel judged. Great app. Try it.""]"
['Cees'],"['August 11, 2019']",['Rated 5 stars out of five stars'],"[""Unique app, this one is unlike any other self-improvement all ive come across. At first i thought the idea of an assistant was dull, but surprisingly it's really drawing me in! It costs me less mental energy to engage with the app on a daily basis, because it's simply fun to use. Thank you guys so much for taking the effort to bring this into the store and thus into the hands of people like me.""]"
['Jessi V'],"['August 16, 2019']",['Rated 3 stars out of five stars'],"[""I used to really like this app but since the update it's not enjoyable for me anymore. The text doesn't make it feel like you're having an actual conversation anymore, a bunch of the factors aren't there anymore and I'd have to add them all over again plus they're not in categories anymore. The colour for the okay mood changed and it's grey now. I use that mood a lot and it's more of a positive mood for me but now that it's grey it seems like my mood was negative that day. Uninstalling.""]"
"[""Khymne D'Arcy""]","['August 17, 2019']",['Rated 3 stars out of five stars'],"[""Until the latest update I thought it was really good. it reflects CBT practices and can provide what feels like genuine support. However the language changes in the update are really cheesey and false. The developers may think they're being 'on trend' but it's made made it tacky, false and really .... um .... patronizing in places. I'd suggest that you shouldn't apply normally advantageous commercial improvements in this space, if you want to provide a long term sustainable product. Just my view.""]"
['Shalonda Kelly'],"['June 27, 2019']",['Rated 4 stars out of five stars'],"[""This app is much more user friendly than woebot, and it is good for self reflection and staying on a positive track with learning about the triggers for one's feelings, use of mindfulness, gratitude, setting intentions, and more. The app could be enhanced by providing a bit more variety (e.g. the gratitude prompts are repetitive), and providing a place where one can review the intentions that were set, as it is less helpful to set intentions and then never refer back to them.""]"
['Meggly D'],"['June 29, 2019']",['Rated 5 stars out of five stars'],"[""Love it! I took the personality test and it's very accurate for me. I already know so much about myself and will be using this app to asses my emotions each day. Can't wait to play around with the meditations and now I feel like I have some hope for my bad days. Thanks so much for creating this app, and I know this will help out a lot of people who are like me, who have constant anxiety about everything and get depressed a lot. Thanks again!!!!""]"
['Kelvin C'],"['July 1, 2019']",['Rated 4 stars out of five stars'],"[""I'm very new to the app or I'd rate it higher. I'm not one to ever discuss anything bothering me until I've dealt with it and it's over. This seemed like a way to bridge that gap for me. The different types of mediation were really helpful. I did wish there was an option of what type of voice I could listen to. It was weird hearing a male voice trying to calm me down etc. I pushed through it though.""]"
['Jared Lloyd'],"['July 9, 2019']",['Rated 1 stars out of five stars'],"[""WARNING: this app IS NOT FREE for long. the initially hidden subscription model is gross, far too much considering the AI responds simply to mostly binary options, does not actually learn, and otherwise regurgitates user entry. almost no value after the initial suggestion that maybe you're expenriencing anxiety, etc., and you probably know that coming in. if you can't afford therapy (i can't!), try a mood journal, grab a relevant book, and reach out to someone if you can. i'm rooting for you!""]"
['Nasi K'],"['August 6, 2019']",['Rated 5 stars out of five stars'],"[""I need to say thank you, from the bottom of my heart to all the developers of this amazing app. i'm a person who is always dealing with mood swings and overthinking. i always thought these mood changes were unstoppable and I just had to get along with them but Youper helped me analyse them, see what are the factors causing each and every one of these emotions and it makes me feel grounded, supported and confident. thank you thank you thank youuu""]"
['Abbey G. Queen'],"['September 5, 2019']",['Rated 5 stars out of five stars'],['It helps. It helps you focus on the things you struggle through and causes you to want to understand more of those feelings in general.']
['Ariadne Lechuga'],"['September 5, 2019']",['Rated 5 stars out of five stars'],"[""Great app, I recommend it for emergencies when you're feeling horrible and don't have anyone to talk to""]"
['Michele Hunt'],"['July 23, 2019']",['Rated 5 stars out of five stars'],"[""Using youper has given me a similar feeling as I get when I go see a therapist, not as intense, but there's definitely a sense of support and a bit of emotional clarity received when I use it. Knowing I can track my feelings, activities, frustrations, celebrations, and current emotional turmoil without judgement or involving my friends feels good. Looking forward to learning more about myself, my behaviors, my emotions, and taking the time for more mindful meditations.""]"
['Caleb Presley'],"['July 12, 2019']",['Rated 2 stars out of five stars'],"['Used to be really good; so beneficial and really helped to take a deeper look into my mind and mental health. But all of a sudden, you have to ""subscribe"" to use most of it\'s functionalities which just isn\'t fair, and is plainly ridiculous (considering it isn\'t the cheapest of memberships either)']"
['Julia K.'],"['August 16, 2019']",['Rated 5 stars out of five stars'],"[""Been testing out this app all day and LOVE it so far. Various ways of tracking your mood and mental health, great insights and what I love most -- it's free! So many other apps would charge for services like these, but I really appreciate that something as important as mental health tools can also be provided for free. Thank you!""]"
['Yaboy_ dashxnnn'],"['September 7, 2019']",['Rated 5 stars out of five stars'],['I Love it. It helps me through my problems. Everytime I have a problem I go to dis app. Dis app has turndd my life around']
['Viola Dunn'],"['July 2, 2019']",['Rated 5 stars out of five stars'],"[""I haven't been using Youper for very long, although I installed it a while ago and had a conversation that I don't recall (not a surprise - my memory sucks, and based on the content it was definitely me). The AI is intuitive and calming, yet simple. The screenings and personality test are very insightful and educational. I'm looking forward to improving, and using the tracking and insights later on. I'm hopeful that I'll see some brighter days in my future, thanks to this app!""]"
['LadyRayray14'],"['July 31, 2019']",['Rated 3 stars out of five stars'],"['apps ok if you just want to monitor how you feel. doesnt really help you do much other than meditate, asks ton of questions, and keeps track of your responses. its good for the doctor if they want to see how you were doing through the days until your next visit. i can also say this is a good app for those who keep journals and diaries of their daily life. i dont see anything extra that you can pay for though because others say you need a subscription to use it but i just create account and im in']"
